"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
101.650789468843,-10.0065990905695,2.33013251610788,-4.29443348023996,1.75139982123841e-05,0.00399193531407079,"ENST00000341991.7"
86.9020496982591,22.7068636723914,4.32792569061102,5.24659277807185,1.54937841140889e-07,5.61717375571958e-05,"ENST00000378609.9"
35.0710042850661,-8.47106086881151,2.42278311499112,-3.49641732947382,0.000471550582791723,0.0497513494762228,"ENST00000535355.6"
85.4291336016785,22.6829932813908,4.32660755646764,5.24267407786571,1.58265956837252e-07,5.65651827926937e-05,"ENST00000676179.1"
39.3016954628976,8.84119788253112,2.49265991774362,3.54689294740787,0.000389802951076165,0.0436862357140733,"ENST00000312413.10"
76.4098947413729,22.5282997163574,4.22713466799445,5.32944925718344,9.85110384728921e-08,4.67624564110137e-05,"ENST00000711098.1"
156.346400009271,23.5277354172937,4.29420506063109,5.47895013980444,4.27856898316428e-08,4.43178734655925e-05,"ENST00000401088.9"
111.20516529184,23.0204958409282,4.3484184473926,5.29399277448373,1.19674163359467e-07,4.93486918359925e-05,"ENST00000685814.1"
84.133976732753,-23.22028398501,4.31792176057513,-5.37765278588957,7.54631677305021e-08,4.47062999668686e-05,"ENST00000498238.1"
40.593176175297,-8.6822456829376,2.38806996712905,-3.63567475092676,0.000277253968310383,0.0345091753782456,"ENST00000374269.2"
38.3011111645801,8.80532412307104,2.39492645238304,3.67665742482797,0.000236310046432245,0.0305966997144923,"ENST00000374076.9"
37.0658042086714,-8.5510437541176,2.39907050033633,-3.56431532667291,0.000364807188328995,0.0422886684685494,"ENST00000608611.5"
46.9442596830112,-8.8923555588924,2.45459763774445,-3.62273450530314,0.000291504981388018,0.0354627780842438,"ENST00000632421.1"
30.3557523483132,8.46996450287344,2.42058575785171,3.49913836987564,0.000466764287162331,0.0494394902514156,"ENST00000373836.4"
171.432456150516,23.6330868813385,4.30399304370778,5.49096772261027,3.99737409616149e-08,4.43178734655925e-05,"ENST00000642937.2"
142.822434601169,-10.4973395053272,2.72385650437829,-3.85385187819327,0.000116273954822126,0.0183655051623872,"ENST00000373798.5"
34.6800342784026,8.66128200651468,2.42914793625396,3.56556382476706,0.000363074786299661,0.0421899615143427,"ENST00000373655.6"
213.475676958588,-11.0769789063555,2.33488235226267,-4.74412721292838,2.09407226727323e-06,0.000601700477690599,"ENST00000373329.5"
204.346338488155,11.2209321955064,2.31603717996437,4.84488431039737,1.26685475387234e-06,0.000376012235985878,"ENST00000373330.1"
48.7944498327891,-8.94804177026809,2.41811578376784,-3.70041907436107,0.000215243713806511,0.0286385472318077,"ENST00000373024.8"
